"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N"
"620L600US28044","State House District 44 (2018), Mississippi","18361","252","18109","17799","12428","2598","2661","76","1","35","310","287","71","135","15","4","23","27","0","0","4","4","0","3","1","0","0","17","11","0","0","0","1","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","1","1"
"620L600US28045","State House District 45 (2018), Mississippi","17647","214","17433","17171","6393","9915","735","95","3","30","262","245","108","71","6","2","19","27","0","0","7","0","0","4","1","0","0","15","8","0","0","1","2","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28046","State House District 46 (2018), Mississippi","17974","229","17745","17414","11745","5517","22","109","0","21","331","315","73","136","5","1","65","18","3","0","5","5","0","0","4","0","0","16","7","6","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28047","State House District 47 (2018), Mississippi","18545","966","17579","17322","4835","12353","55","65","0","14","257","246","133","49","12","0","17","24","1","0","9","0","0","0","0","1","0","9","7","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28048","State House District 48 (2018), Mississippi","17110","510","16600","16336","10777","4867","566","83","6","37","264","237","62","93","15","4","28","29","0","0","2","0","2","1","1","0","0","21","12","2","0","0","0","1","4","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"620L600US28049","State House District 49 (2018), Mississippi","15410","158","15252","15006","3996","10830","26","139","2","13","246","231","118","39","13","0","30","22","4","2","2","1","0","0","0","0","0","15","5","0","0","0","1","0","0","0","2","0","0","2","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US28050","State House District 50 (2018), Mississippi","16727","318","16409","16142","4791","11201","16","94","2","38","267","248","125","73","1","0","21","17","0","2","9","0","0","0","0","0","0","18","9","1","0","1","0","0","0","0","2","0","0","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"620L600US28051","State House District 51 (2018), Mississippi","14913","163","14750","14454","2938","11456","5","41","3","11","296","262","150","39","7","1","21","25","6","0","10","0","3","0","0","0","0","29","23","0","0","0","0","1","0","1","2","0","2","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","0","0","0","2","0","0"
"620L600US28052","State House District 52 (2018), Mississippi","19624","1032","18592","18098","12434","5366","45","198","24","31","494","468","80","181","44","8","110","33","6","1","3","0","0","0","2","0","0","22","14","1","0","4","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","0","0","0","0","0","0","0"
"620L600US28053","State House District 53 (2018), Mississippi","19091","193","18898","18545","12588","5810","30","76","4","37","353","329","70","154","12","4","57","18","2","1","10","0","0","1","0","0","0","18","6","2","2","2","2","0","0","1","0","0","0","0","0","2","1","0","0","0","0","0","6","3","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
